x,f(x)one,df(x)one,f(x)two,df(x)two,f(x)three,df(x)three
0,0,0,0,0,0,0
0.001,0,1e-06,5.015e-07,1.5e-06,6.68167e-07,1.5e-06
0.002,0,3e-06,1.5055e-06,4e-06,1.83883e-06,4e-06
0.003,6e-09,6e-06,3.013e-06,7.5e-06,3.513e-06,7.5e-06
0.004,6e-09,1e-05,5.025e-06,1.2e-05,5.69167e-06,1.2e-05
0.005,2.1e-08,1.5e-05,7.5425e-06,1.75e-05,8.37583e-06,1.75e-05
0.006,4.2e-08,2.1e-05,1.05665e-05,2.4e-05,1.15665e-05,2.4e-05
0.007,7e-08,2.8e-05,1.4098e-05,3.15e-05,1.52647e-05,3.15e-05
0.008,7e-08,3.6e-05,1.8138e-05,4e-05,1.94713e-05,4e-05
0.009,1.15e-07,4.5e-05,2.26875e-05,4.95e-05,2.41875e-05,4.95e-05
0.01,1.7e-07,5.5e-05,2.77475e-05,6e-05,2.94142e-05,6e-05
0.011,2.36e-07,6.6e-05,3.3319e-05,7.15e-05,3.51523e-05,7.15e-05
0.012,3.14e-07,7.8e-05,3.9403e-05,8.4e-05,4.1403e-05,8.4e-05
0.013,4.05e-07,9.1e-05,4.60005e-05,9.75e-05,4.81672e-05,9.75e-05
0.014,5.1e-07,0.000105,5.31125e-05,0.000112,5.54458e-05,0.000112
0.015,6.3e-07,0.00012,6.074e-05,0.0001275,6.324e-05,0.0001275
0.016,6.3e-07,0.000136,6.8884e-05,0.000144,7.15507e-05,0.000144
0.017,7.83e-07,0.000153,7.75455e-05,0.0001615,8.03788e-05,0.0001615
0.018,9.54e-07,0.000171,8.67255e-05,0.00018,8.97255e-05,0.00018
0.019,1.144e-06,0.00019,9.6425e-05,0.0001995,9.95917e-05,0.0001995
0.02,1.354e-06,0.00021,0.000106645,0.00022,0.000109978,0.00022
0.021,1.585e-06,0.000231,0.000117387,0.0002415,0.000120887,0.0002415
0.022,1.838e-06,0.000253,0.000128651,0.000264,0.000132317,0.000264
0.023,2.114e-06,0.000276,0.000140438,0.0002875,0.000144271,0.0002875
0.024,2.414e-06,0.0003,0.00015275,0.000312,0.00015675,0.000312
0.025,2.739e-06,0.000325,0.000165588,0.0003375,0.000169754,0.0003375
0.026,3.09e-06,0.000351,0.000178952,0.000364,0.000183285,0.000364
0.027,3.468e-06,0.000378,0.000192843,0.0003915,0.000197343,0.0003915
0.028,3.874e-06,0.000406,0.000207263,0.00042,0.00021193,0.00042
0.029,4.309e-06,0.000435,0.000222213,0.0004495,0.000227046,0.0004495
0.03,4.774e-06,0.000465,0.000237693,0.00048,0.000242693,0.00048
0.031,5.27e-06,0.000496,0.000253704,0.0005115,0.000258871,0.0005115
0.032,5.27e-06,0.000528,0.000270248,0.000544,0.000275581,0.000544
0.033,5.831e-06,0.000561,0.000287326,0.0005775,0.000292826,0.0005775
0.034,6.426e-06,0.000595,0.000304938,0.000612,0.000310604,0.000612
