x,f(x)one,f(x)two,f(x)three
0,0,0,0
0.001,-0.001,-0.000999999,-0.000999999
0.002,-0.002,-0.002,-0.002
0.003,-0.00299999,-0.00299999,-0.00299999
0.004,-0.00399999,-0.00399998,-0.00399998
0.005,-0.00499997,-0.00499996,-0.00499996
0.006,-0.00599995,-0.00599994,-0.00599994
0.007,-0.00699993,-0.00699991,-0.00699991
0.008,-0.0079999,-0.00799988,-0.00799988
0.009,-0.00899986,-0.00899983,-0.00899983
0.01,-0.00999981,-0.00999978,-0.00999978
0.011,-0.0109997,-0.0109997,-0.0109997
0.012,-0.0119997,-0.0119996,-0.0119996
0.013,-0.0129996,-0.0129995,-0.0129995
0.014,-0.0139995,-0.0139994,-0.0139994
0.015,-0.0149994,-0.0149993,-0.0149993
0.016,-0.0159993,-0.0159992,-0.0159992
0.017,-0.0169991,-0.016999,-0.016999
0.018,-0.0179989,-0.0179989,-0.0179989
0.019,-0.0189988,-0.0189987,-0.0189987
0.02,-0.0199986,-0.0199985,-0.0199985
0.021,-0.0209983,-0.0209982,-0.0209982
0.022,-0.0219981,-0.021998,-0.021998
0.023,-0.0229978,-0.0229977,-0.0229977
0.024,-0.0239976,-0.0239974,-0.0239974
0.025,-0.0249972,-0.0249971,-0.0249971
0.026,-0.0259969,-0.0259967,-0.0259967
0.027,-0.0269965,-0.0269963,-0.0269963
0.028,-0.0279961,-0.0279959,-0.0279959
0.029,-0.0289957,-0.0289955,-0.0289955
0.03,-0.0299953,-0.029995,-0.029995
0.031,-0.0309948,-0.0309945,-0.0309945
0.032,-0.0319943,-0.031994,-0.031994
0.033,-0.0329937,-0.0329934,-0.0329934
0.034,-0.0339932,-0.0339929,-0.0339928
0.035,-0.0349925,-0.0349922,-0.0349922
0.036,-0.0359919,-0.0359916,-0.0359915
0.037,-0.0369912,-0.0369909,-0.0369908
0.038,-0.0379905,-0.0379901,-0.0379901
0.039,-0.0389897,-0.0389893,-0.0389893
0.04,-0.0399889,-0.0399885,-0.0399885
0.041,-0.0409881,-0.0409876,-0.0409876
0.042,-0.0419872,-0.0419867,-0.0419867
0.043,-0.0429863,-0.0429858,-0.0429858
0.044,-0.0439853,-0.0439848,-0.0439848
0.045,-0.0449843,-0.0449838,-0.0449838
0.046,-0.0459832,-0.0459827,-0.0459827
0.047,-0.0469821,-0.0469816,-0.0469816
0.048,-0.047981,-0.0479804,-0.0479804
0.049,-0.0489798,-0.0489792,-0.0489792
0.05,-0.0499785,-0.0499779,-0.0499779
0.051,-0.0509772,-0.0509766,-0.0509766
0.052,-0.0519759,-0.0519752,-0.0519752
0.053,-0.0529745,-0.0529738,-0.0529737
0.054,-0.053973,-0.0539723,-0.0539723
0.055,-0.0549715,-0.0549707,-0.0549707
0.056,-0.0559699,-0.0559691,-0.0559691
0.057,-0.0569683,-0.0569675,-0.0569675
0.058,-0.0579666,-0.0579658,-0.0579658
0.059,-0.0589649,-0.058964,-0.058964
0.06,-0.0599631,-0.0599622,-0.0599622
0.061,-0.0609612,-0.0609603,-0.0609603
0.062,-0.0619593,-0.0619583,-0.0619583
0.063,-0.0629573,-0.0629563,-0.0629563
0.064,-0.0639553,-0.0639542,-0.0639542
0.065,-0.0649532,-0.0649521,-0.0649521
0.066,-0.065951,-0.0659499,-0.0659499
0.067,-0.0669488,-0.0669476,-0.0669476
0.068,-0.0679464,-0.0679453,-0.0679452
0.069,-0.0689441,-0.0689428,-0.0689428
0.07,-0.0699416,-0.0699404,-0.0699403
0.071,-0.0709391,-0.0709378,-0.0709378
0.072,-0.0719365,-0.0719352,-0.0719352
0.073,-0.0729338,-0.0729325,-0.0729325
0.074,-0.0739311,-0.0739297,-0.0739297
0.075,-0.0749283,-0.0749269,-0.0749268
0.076,-0.0759254,-0.0759239,-0.0759239
0.077,-0.0769224,-0.0769209,-0.0769209
0.078,-0.0779194,-0.0779178,-0.0779178
0.079,-0.0789163,-0.0789147,-0.0789147
0.08,-0.0799131,-0.0799114,-0.0799114
0.081,-0.0809098,-0.0809081,-0.0809081
0.082,-0.0819064,-0.0819047,-0.0819047
0.083,-0.082903,-0.0829012,-0.0829012
0.084,-0.0838995,-0.0838977,-0.0838977
0.085,-0.0848959,-0.084894,-0.084894
0.086,-0.0858922,-0.0858903,-0.0858903
0.087,-0.0868884,-0.0868865,-0.0868864
0.088,-0.0878845,-0.0878825,-0.0878825
0.089,-0.0888806,-0.0888785,-0.0888785
0.09,-0.0898765,-0.0898744,-0.0898744
0.091,-0.0908724,-0.0908703,-0.0908703
0.092,-0.0918682,-0.091866,-0.091866
0.093,-0.0928638,-0.0928616,-0.0928616
0.094,-0.0938594,-0.0938572,-0.0938571
0.095,-0.0948549,-0.0948526,-0.0948526
0.096,-0.0958503,-0.095848,-0.0958479
0.097,-0.0968456,-0.0968432,-0.0968432
0.098,-0.0978408,-0.0978384,-0.0978383
0.099,-0.0988359,-0.0988334,-0.0988334
0.1,-0.0998309,-0.0998284,-0.0998283
0.101,-0.100826,-0.100823,-0.100823
0.102,-0.101821,-0.101818,-0.101818
0.103,-0.102815,-0.102813,-0.102813
0.104,-0.10381,-0.103807,-0.103807
0.105,-0.104804,-0.104802,-0.104802
0.106,-0.105799,-0.105796,-0.105796
0.107,-0.106793,-0.10679,-0.10679
0.108,-0.107787,-0.107784,-0.107784
0.109,-0.108781,-0.108778,-0.108778
0.11,-0.109775,-0.109772,-0.109772
0.111,-0.110769,-0.110766,-0.110766
0.112,-0.111763,-0.11176,-0.11176
0.113,-0.112756,-0.112753,-0.112753
0.114,-0.11375,-0.113747,-0.113747
0.115,-0.114743,-0.11474,-0.11474
0.116,-0.115737,-0.115733,-0.115733
0.117,-0.11673,-0.116726,-0.116726
0.118,-0.117723,-0.117719,-0.117719
0.119,-0.118716,-0.118712,-0.118712
0.12,-0.119709,-0.119705,-0.119705
0.121,-0.120701,-0.120698,-0.120698
0.122,-0.121694,-0.12169,-0.12169
0.123,-0.122686,-0.122682,-0.122682
0.124,-0.123679,-0.123675,-0.123675
0.125,-0.124671,-0.124667,-0.124667
0.126,-0.125663,-0.125659,-0.125659
0.127,-0.126655,-0.126651,-0.126651
0.128,-0.127647,-0.127643,-0.127642
0.129,-0.128638,-0.128634,-0.128634
0.13,-0.12963,-0.129626,-0.129626
0.131,-0.130621,-0.130617,-0.130617
0.132,-0.131613,-0.131608,-0.131608
0.133,-0.132604,-0.132599,-0.132599
0.134,-0.133595,-0.13359,-0.13359
0.135,-0.134586,-0.134581,-0.134581
0.136,-0.135577,-0.135572,-0.135572
0.137,-0.136567,-0.136562,-0.136562
0.138,-0.137558,-0.137553,-0.137553
0.139,-0.138548,-0.138543,-0.138543
0.14,-0.139538,-0.139533,-0.139533
0.141,-0.140528,-0.140523,-0.140523
0.142,-0.141518,-0.141513,-0.141513
0.143,-0.142508,-0.142503,-0.142503
0.144,-0.143498,-0.143492,-0.143492
0.145,-0.144487,-0.144482,-0.144482
0.146,-0.145477,-0.145471,-0.145471
0.147,-0.146466,-0.14646,-0.14646
0.148,-0.147455,-0.147449,-0.147449
0.149,-0.148444,-0.148438,-0.148438
0.15,-0.149433,-0.149427,-0.149427
0.151,-0.150421,-0.150415,-0.150415
0.152,-0.15141,-0.151404,-0.151404
0.153,-0.152398,-0.152392,-0.152392
0.154,-0.153386,-0.15338,-0.15338
0.155,-0.154374,-0.154368,-0.154368
0.156,-0.155362,-0.155356,-0.155356
0.157,-0.15635,-0.156343,-0.156343
0.158,-0.157337,-0.157331,-0.157331
0.159,-0.158325,-0.158318,-0.158318
0.16,-0.159312,-0.159305,-0.159305
0.161,-0.160299,-0.160292,-0.160292
0.162,-0.161286,-0.161279,-0.161279
0.163,-0.162273,-0.162266,-0.162266
0.164,-0.163259,-0.163252,-0.163252
0.165,-0.164246,-0.164239,-0.164239
0.166,-0.165232,-0.165225,-0.165225
0.167,-0.166218,-0.166211,-0.166211
0.168,-0.167204,-0.167197,-0.167197
0.169,-0.16819,-0.168182,-0.168182
0.17,-0.169175,-0.169168,-0.169168
0.171,-0.170161,-0.170153,-0.170153
0.172,-0.171146,-0.171138,-0.171138
0.173,-0.172131,-0.172123,-0.172123
0.174,-0.173116,-0.173108,-0.173108
0.175,-0.1741,-0.174093,-0.174093
0.176,-0.175085,-0.175077,-0.175077
0.177,-0.176069,-0.176062,-0.176061
0.178,-0.177054,-0.177046,-0.177046
0.179,-0.178038,-0.17803,-0.17803
0.18,-0.179021,-0.179013,-0.179013
0.181,-0.180005,-0.179997,-0.179997
0.182,-0.180989,-0.18098,-0.18098
0.183,-0.181972,-0.181963,-0.181963
0.184,-0.182955,-0.182947,-0.182946
0.185,-0.183938,-0.183929,-0.183929
0.186,-0.184921,-0.184912,-0.184912
0.187,-0.185903,-0.185894,-0.185894
0.188,-0.186886,-0.186877,-0.186877
0.189,-0.187868,-0.187859,-0.187859
0.19,-0.18885,-0.188841,-0.188841
0.191,-0.189832,-0.189823,-0.189822
0.192,-0.190813,-0.190804,-0.190804
0.193,-0.191795,-0.191785,-0.191785
0.194,-0.192776,-0.192767,-0.192766
0.195,-0.193757,-0.193747,-0.193747
0.196,-0.194738,-0.194728,-0.194728
0.197,-0.195719,-0.195709,-0.195709
0.198,-0.196699,-0.196689,-0.196689
0.199,-0.197679,-0.197669,-0.197669
0.2,-0.198659,-0.198649,-0.198649
0.201,-0.199639,-0.199629,-0.199629
0.202,-0.200619,-0.200609,-0.200609
0.203,-0.201598,-0.201588,-0.201588
0.204,-0.202578,-0.202567,-0.202567
0.205,-0.203557,-0.203546,-0.203546
0.206,-0.204536,-0.204525,-0.204525
0.207,-0.205514,-0.205503,-0.205503
0.208,-0.206493,-0.206482,-0.206482
0.209,-0.207471,-0.20746,-0.20746
0.21,-0.208449,-0.208438,-0.208438
0.211,-0.209427,-0.209416,-0.209415
0.212,-0.210404,-0.210393,-0.210393
0.213,-0.211382,-0.21137,-0.21137
